"SpMax_L" "J_Dz(e)" "C%" "SdssC" "HyWi_B(m)" "LOC" "SM6_L" "F03[C-O]" "Me" "Mi" "SpPosA_B(p)" "B01[C-Br]" "B03[C-Cl]" "SpMax_A" "Psi_i_1d" "SdO" "TI2_L" "SpMax_B(m)" "Psi_i_A" "SM6_B(m)" "Y"
"36" 4.214 3.3939 28.6 -0.211 2.662 1.459 8.755 "1" 1.014 1.149 1.138 "0" "0" 1.902 -0.249 9.822 2.052 3.344 2.944 7.382 "1"
"37" 4.214 3.7074 33.3 -0.329 2.713 1.459 8.755 "1" 1.025 1.139 1.186 "0" "0" 1.902 -0.263 9.75 2.052 3.38 3.194 7.543 "1"
"38" 4.233 3.4039 27.8 -0.262 2.938 1.906 9.011 "1" 1.022 1.15 1.119 "0" "0" 1.95 -0.087 10.041 2.999 3.349 2.833 7.61 "1"
"39" 4.334 3.6943 33.3 -0.241 2.838 1.557 8.944 "3" 1.013 1.139 1.164 "0" "0" 1.97 0.149 10.118 2.195 3.39 2.952 7.596 "1"
"40" 4.372 3.3652 33.3 -0.177 3.139 2.246 9.253 "3" 0.993 1.139 1.186 "0" "0" 2.024 -0.025 10.624 3.412 3.394 2.517 7.788 "1"
"41" 5.392 4.5881 30.8 -0.209 3.517 1.907 10.633 "13" 0.989 1.144 1.169 "0" "0" 2.314 0.001 11.278 3.598 3.503 2.461 8.269 "1"
"42" 4.446 3.6985 30 -0.796 3.192 1.922 9.523 "6" 1.036 1.146 1.116 "0" "0" 2.061 -0.028 20.804 3.132 3.431 3.133 8.008 "1"
"43" 4.411 3.5866 31.8 -0.328 3.699 2.948 9.956 "8" 0.995 1.142 1.164 "0" "0" 2.08 0 22.47 6.131 3.393 2.407 8.325 "1"
"44" 4.527 3.7942 32.5 -0.117 4.14 3.427 10.56 "10" 0.981 1.14 1.184 "0" "0" 2.13 0 23.699 9.594 3.393 2.086 8.693 "1"
"45" 4.347 3.1269 33.3 -0.076 3.809 3.309 9.933 "3" 0.975 1.138 1.202 "0" "0" 2.019 0 10.914 8.395 3.358 1.96 8.298 "1"
"46" 4.562 3.8122 33.3 -0.759 2.723 0.918 9.184 "4" 1.025 1.139 1.179 "0" "0" 2 -0.258 9.6 1.521 3.511 3.556 7.676 "1"
"47" 4.629 4.0061 33.3 0.086 2.847 1.379 9.312 "5" 1.013 1.139 1.189 "0" "0" 2.053 0.149 10.19 1.776 3.523 2.976 7.747 "1"
"48" 4.655 2.409 35 0.094 3.204 2.182 9.765 "6" 1.02 1.135 1.157 "0" "0" 2.256 0.014 10.698 2.989 3.542 2.667 8.185 "1"
"49" 4.644 3.9071 31.6 -0.104 3.082 1.837 9.467 "5" 1.021 1.142 1.149 "0" "0" 2.084 0.049 10.469 2.732 3.525 3.093 7.886 "1"
"50" 4.646 3.9619 34.3 -0.189 3.707 2.587 10.202 "10" 1.017 1.137 1.184 "0" "0" 2.107 0 21.879 6.086 3.535 2.775 8.578 "1"
"51" 4.468 4.1984 33.3 -1.073 3.37 2.252 9.651 "6" 1.025 1.139 1.158 "0" "0" 2.085 -0.008 21.27 3.737 3.534 2.944 8.196 "1"
"52" 4.562 3.7287 25 -1.21 3.184 0.918 9.184 "0" 1.134 1.142 1.19 "0" "0" 2 -0.271 9.435 1.521 3.976 4.037 8.593 "1"
"53" 5.206 3.3847 30.8 -0.947 3.713 2.9 10.416 "0" 0.979 1.145 1.187 "0" "0" 2.218 0 10.57 6.77 3.47 2.167 8.295 "1"
"54" 4.691 3.8787 25 -2.498 3.125 1.436 9.666 "4" 1.066 1.161 1.078 "0" "0" 2.117 0.052 19.617 2.428 3.483 4.019 8.015 "1"
"55" 4.17 3.6206 28.6 -1.426 2.612 0.971 8.597 "0" 1.124 1.149 1.095 "0" "0" 1.848 0.481 17.905 1.542 3.427 4.733 7.521 "1"
"56" 4.214 3.3376 33.3 -1.072 2.774 1.459 8.755 "2" 1.071 1.148 1.187 "0" "0" 1.902 -0.277 9.377 2.052 3.423 4.111 7.746 "1"
"57" 5.206 3.5794 30.6 -0.919 3.965 3.189 10.627 "2" 0.985 1.147 1.18 "0" "0" 2.22 0 22.35 8.266 3.473 2.306 8.611 "1"
"58" 4.17 2.6629 26.7 0 2.4 0.971 8.597 "2" 0.983 1.152 1.12 "0" "0" 1.848 0.342 0 1.542 3 2.567 6.683 "1"
"59" 5.175 3.9016 29.6 -0.239 3.227 1.859 10.165 "3" 1.002 1.146 1.146 "0" "0" 2.175 0.014 10.355 3.341 3.389 2.538 7.979 "1"
"60" 4.642 3.0034 42.1 0 3.093 1.187 9.631 "2" 0.987 1.12 1.256 "0" "0" 2.2 -0.024 0 1.487 3.639 2.315 8.009 "1"
"61" 4.607 2.9443 42.1 0 3.093 1.187 9.631 "2" 0.987 1.12 1.242 "0" "0" 2.194 -0.024 0 1.544 3.635 2.315 8.009 "1"
"62" 4.807 3.2486 42.1 0 3.1 0.881 9.833 "3" 0.987 1.12 1.272 "0" "0" 2.246 -0.024 0 1.06 3.71 2.333 8.114 "1"
"63" 4.828 3.3386 40 0 3.203 1.261 9.749 "4" 1.004 1.125 1.219 "0" "0" 2.247 0.014 0 1.436 3.677 2.233 8.114 "1"
"64" 4.543 2.7023 42.9 -0.242 3.309 1.705 9.722 "3" 1.003 1.119 1.241 "0" "0" 2.166 -0.008 10.395 2.905 3.573 2.485 8.245 "1"
"65" 4.521 2.7124 45 0 3.203 1.661 9.466 "1" 0.987 1.114 1.268 "0" "0" 2.154 0.014 0 2.593 3.587 2.317 8.061 "1"
"66" 4.607 3.1116 46.7 0 3.151 1.187 9.631 "4" 1.02 1.111 1.253 "0" "0" 2.194 -0.026 10.036 1.544 3.662 2.926 8.143 "1"
"67" 4.863 3.3599 42.1 0 3.335 1.273 9.967 "6" 1.027 1.12 1.216 "0" "0" 2.283 -0.008 10.249 1.568 3.743 2.864 8.33 "1"
"68" 4.923 3.2457 44.4 -0.863 3.239 1.185 9.911 "4" 1.011 1.116 1.248 "0" "0" 2.267 0.014 10.422 1.563 3.73 2.8 8.28 "1"
"69" 5.068 3.3983 41.7 -1.1 3.571 1.59 10.257 "10" 1.03 1.121 1.202 "0" "0" 2.343 0.001 22.449 2.147 3.793 2.833 8.593 "1"
"70" 5.074 3.092 38.1 -0.98 3.869 2.066 10.59 "14" 1.001 1.129 1.215 "0" "0" 2.354 0 23.965 3.873 3.795 2.467 8.789 "1"
"71" 4.914 3.2253 41.7 -0.952 3.571 1.59 10.236 "10" 1.03 1.121 1.202 "0" "0" 2.307 0.001 22.204 2.465 3.764 2.833 8.591 "1"
"72" 5.047 2.7377 50 -2.685 3.634 1.06 10.531 "12" 1.078 1.104 1.211 "0" "0" 2.454 -0.001 32.533 1.75 3.906 3.321 8.796 "1"
"73" 4.793 2.1244 50 -0.288 3.699 0.5 10.239 "7" 0.998 1.104 1.28 "0" "0" 2.247 0 11.596 3.928 3.681 2.313 8.7 "1"
"74" 4.77 3.1445 43.8 -0.986 3.261 1.185 9.882 "6" 1.04 1.117 1.207 "0" "0" 2.236 0.015 10.231 1.74 3.712 3.2 8.3 "1"
"75" 5.313 3.4571 35.3 0 3.509 1.16 10.388 "8" 1.061 1.118 1.219 "0" "0" 2.311 -0.008 20.836 1.833 4.735 3.477 9.513 "1"
"76" 4.77 2.5385 38.5 3.12 3.131 1.185 9.882 "0" 0.964 1.128 1.274 "0" "0" 2.236 0.012 0 1.74 3.521 1.767 7.934 "1"
"77" 4.414 2.18 31.6 0 2.755 0.802 9.183 "2" 0.98 1.142 1.149 "0" "0" 2.101 -0.066 0 0.975 3.159 2.119 7.119 "1"
"78" 4.821 2.5866 33.3 -0.135 3.232 1.455 9.928 "4" 0.99 1.139 1.189 "0" "0" 2.249 -0.007 10.635 2.209 3.434 2.258 7.93 "1"
"79" 5.331 2.1747 47.4 0 4.133 0.393 10.867 "15" 1.009 1.102 1.3 "0" "0" 2.37 0 13.055 2.694 4.44 2.318 9.576 "1"
"80" 4.607 3.0422 47.1 0 3.127 1.187 9.631 "2" 0.992 1.11 1.299 "0" "0" 2.194 -0.025 10.118 1.544 3.651 2.481 8.116 "1"
"81" 5.814 2.4937 37 0.513 3.256 0.845 10.926 "4" 0.978 1.131 1.254 "0" "0" 2.62 0.003 11.573 0.811 3.756 2.091 8.196 "1"
"82" 5.637 2.2966 38.5 1.646 3.144 0.853 10.63 "0" 0.964 1.128 1.267 "0" "0" 2.554 -0.006 0 0.986 3.676 1.658 8.065 "1"
"83" 5.814 2.4328 34.5 0 3.227 0.845 10.926 "4" 0.975 1.136 1.223 "0" "0" 2.62 0.003 0 0.811 3.693 1.97 8.05 "1"
"84" 4.732 2.9426 40 0.417 2.767 0.959 9.464 "1" 1.042 1.125 1.208 "0" "0" 2.236 0.145 9.827 1.138 3.603 3.056 7.829 "1"
"85" 4.923 2.7291 50 -0.199 3.266 0.664 10.037 "5" 1.019 1.104 1.266 "0" "0" 2.376 -0.008 10.843 1.057 3.783 2.5 8.33 "1"
"86" 4.414 3.2274 45.5 0 2.935 1.203 9.209 "1" 1.038 1.114 1.296 "0" "0" 2.152 -0.085 9.774 1.496 3.67 2.881 8.002 "1"
"87" 4.414 2.3717 29.4 0 2.789 1.203 9.209 "1" 1.004 1.147 1.141 "0" "0" 2.152 -0.074 0 1.496 3.238 2.405 7.243 "1"
"88" 4.982 2.8025 50 -0.601 3.38 0.762 10.226 "6" 1.033 1.109 1.261 "0" "0" 2.424 0.004 21.888 1.027 3.853 2.833 8.508 "1"
"89" 4.651 2.7156 31.3 0.292 2.826 0.917 9.502 "3" 0.998 1.148 1.19 "0" "0" 2.214 -0.074 10.5 0.918 3.482 2.452 7.624 "1"
"90" 4.802 3.0226 50 0 3.174 0 9.805 "0" 0.985 1.109 1.359 "0" "0" 2.323 0.013 0 0.95 3.868 1.981 8.357 "1"
"91" 5.164 3.2947 23.1 0 3.108 0.917 9.968 "4" 1.055 1.138 1.188 "0" "0" 2.256 -0.081 20.417 0.939 4.681 3.274 9.289 "1"
"92" 4.826 2.731 25 0 3.525 1.654 10.121 "0" 1.007 1.163 1.12 "0" "0" 2.303 -0.001 0 1.916 3.396 2.5 8.023 "1"
"93" 4.829 2.9046 39.3 -0.664 3.786 1.875 10.281 "6" 1.025 1.127 1.227 "0" "0" 2.284 0 22.271 3.31 3.74 2.736 8.888 "1"
"94" 5.439 2.3629 23.5 -0.945 4.381 1.871 11.509 "12" 1.055 1.155 1.154 "0" "0" 2.466 0 35.388 5.533 4.61 3.182 9.993 "1"
"95" 4.739 2.6454 39.1 -0.959 3.394 1.695 9.972 "2" 1.008 1.13 1.218 "0" "0" 2.212 0.004 10.379 2.815 3.585 2.764 8.319 "1"
"96" 4.659 3.7176 23.1 -2.138 3.714 2.128 10.094 "4" 1.042 1.144 1.174 "0" "0" 2.125 -0.002 20.538 4.56 4.061 3.333 8.992 "1"
"97" 3.975 2.8897 32.3 0 3.699 3.322 9.707 "0" 0.961 1.141 1.209 "0" "0" 1.978 0 0 8.122 2.994 1.55 7.896 "1"
"98" 4.17 2.607 25 0 2.373 0.971 8.597 "0" 0.97 1.161 1.133 "0" "0" 1.848 0.322 0 1.542 2.983 2.167 6.635 "1"
"99" 3 1.8227 20 0 1.883 0.918 6.594 "0" 0.975 1.174 1.126 "0" "0" 1.414 0.764 0 1.333 2.642 2.167 5.834 "1"
"100" 3.618 2.3911 25 0 2.359 1.522 7.853 "0" 0.97 1.161 1.129 "0" "0" 1.732 0.33 0 2.094 2.848 1.9 6.432 "1"
"101" 3 1.8205 22.2 0 1.926 0.918 6.594 "0" 0.998 1.162 1.06 "0" "0" 1.414 0.826 0 1.333 2.651 3.167 5.86 "1"
"102" 4 2.5101 25 0 2.199 0.811 8.318 "0" 0.988 1.156 1.118 "0" "0" 1.732 -0.552 0 1 2.97 2.833 6.539 "1"
"103" 4.444 3.1402 29.6 0 2.946 1.891 9.202 "2" 0.973 1.146 1.16 "0" "0" 2.042 0.038 0 2.602 3.096 2.093 7.197 "1"
"104" 3.879 2.6274 29.6 0 2.938 2.281 8.743 "1" 0.973 1.146 1.161 "0" "0" 1.902 0.039 0 3.685 2.936 2.056 7.087 "1"
"105" 3.95 2.7989 31 0 3.364 2.807 9.296 "1" 0.969 1.143 1.18 "0" "0" 1.956 -0.002 0 5.698 2.976 1.857 7.552 "1"
"106" 5.391 3.7046 26.7 0 3.838 1.735 10.648 "12" 0.979 1.139 1.532 "0" "0" 2.358 0 0 1.69 5.127 2.108 9.921 "1"
"107" 3.732 2.477 25 0 2.597 1.585 8.16 "2" 1.005 1.156 1.069 "0" "0" 1.802 -0.229 0 2.488 2.897 3 6.732 "1"
"108" 3.973 3.0163 32.7 0 3.68 3.301 9.649 "1" 0.968 1.14 1.202 "0" "0" 1.975 0 0 7.718 3.129 1.816 7.984 "1"
"109" 3.414 2.4719 30 0 2.263 1 7.408 "1" 0.998 1.146 1.141 "0" "0" 1.618 -0.611 0 1.707 2.974 3.125 6.631 "1"
"110" 3.414 2.1848 18.2 0 2.211 1 7.408 "0" 1.007 1.178 0.999 "0" "0" 1.618 -0.603 0 1.707 2.79 3.25 6.251 "1"
"111" 4.334 3.1387 26.3 0 2.746 1.557 8.944 "2" 0.998 1.153 1.099 "0" "0" 1.97 0.135 0 2.195 3.114 2.548 7.098 "1"
"112" 3 2.311 28.6 0 2.03 0.918 6.594 "0" 1.014 1.149 1.177 "0" "0" 1.414 0.903 8.806 1.333 2.991 3.667 6.578 "1"
"113" 4.17 2.8963 30.8 0 2.466 0.971 8.597 "2" 0.989 1.144 1.196 "0" "0" 1.848 0.363 9.505 1.542 3.18 2.867 7.056 "1"
"114" 4.414 3.1682 31.6 0.287 2.768 1.379 9.222 "1" 0.98 1.142 1.224 "0" "0" 2 0.126 10.254 2.133 3.325 2.5 7.473 "1"
"115" 4.414 3.4137 33.3 -0.125 2.847 1.379 9.222 "2" 1.013 1.139 1.209 "0" "0" 2 0.144 20.067 2.133 3.426 3.262 7.758 "1"
"116" 4.236 3.1869 34.6 -0.671 3.78 3.284 9.867 "2" 0.977 1.136 1.212 "0" "0" 1.993 0 10.319 8.066 3.33 2.133 8.337 "1"
"117" 4.523 4.0241 31.6 -0.913 3.082 1.837 9.454 "6" 1.021 1.142 1.121 "0" "0" 2.074 0.048 20.676 2.57 3.494 3.093 7.912 "1"
"118" 4.475 3.5408 32.4 -0.855 4.103 3.664 10.32 "6" 0.982 1.14 1.181 "0" "0" 2.105 0 23.157 9.847 3.474 2.083 8.622 "1"
"119" 4.836 5.6969 32.5 -0.851 4.293 2.929 10.906 "17" 0.989 1.14 1.178 "0" "0" 2.262 0 37.824 4.685 3.526 2.268 8.951 "1"
"120" 4.476 3.7418 30 -0.195 2.917 1.5 9.345 "2" 0.998 1.146 1.153 "0" "0" 2.042 -0.079 10.191 2.34 3.389 2.625 7.628 "1"
"121" 4.235 3.3919 28.6 -0.255 3.039 1.975 9.118 "1" 1.014 1.149 1.124 "0" "0" 1.962 0.048 10.129 3.449 3.35 2.685 7.677 "1"
"122" 4.38 3.3996 30.8 -1.068 3.345 2.252 9.625 "5" 1.019 1.144 1.138 "0" "0" 2.044 -0.008 20.772 4.178 3.379 3.028 8.09 "1"
"123" 4.412 3.4435 33.9 -0.268 4.587 4.437 10.757 "8" 0.974 1.137 1.208 "0" "0" 2.086 0 23.892 17.114 3.395 1.899 9.075 "1"
"124" 4.243 3.0402 31.3 -1.48 3.477 2.522 9.716 "4" 1.008 1.143 1.139 "0" "0" 2 -0.002 20.288 5.475 3.337 2.952 8.169 "1"
"125" 4.237 3.0152 31.8 -1.396 3.699 2.948 9.917 "4" 0.995 1.142 1.158 "0" "0" 2 0 20.53 7.174 3.335 2.63 8.317 "1"
"126" 4.412 3.7308 30.6 -0.554 4.201 3.774 10.379 "8" 1.002 1.144 1.146 "0" "0" 2.085 0 23.21 10.723 3.397 2.311 8.752 "1"
"127" 4.544 3.9936 30.4 -1.072 3.272 2.187 9.59 "6" 1.027 1.145 1.142 "0" "0" 2.101 0.015 21.21 3.207 3.486 2.985 8.051 "1"
"128" 4.399 3.455 32.3 -0.228 4.363 4.044 10.513 "8" 0.979 1.138 1.202 "0" "0" 2.08 0 23.602 12.745 3.645 1.976 9.017 "1"
"129" 4.706 4.2802 30 -1.853 3.192 1.922 9.565 "2" 1.036 1.146 1.13 "0" "0" 2.127 -0.028 20.872 2.691 3.586 3.133 8.016 "1"
"130" 4.67 4.0218 33.3 0.218 3.447 2.21 9.961 "7" 0.983 1.139 1.203 "0" "0" 2.147 -0.002 11.115 3.769 3.53 2.262 8.143 "1"
"131" 4.644 3.7043 33.3 0.185 3.146 1.922 9.536 "6" 0.993 1.139 1.197 "0" "0" 2.089 -0.025 10.696 3.237 3.525 2.533 7.913 "1"
"132" 4.644 3.122 33.3 0.238 3.939 3.418 10.195 "6" 0.973 1.138 1.21 "0" "0" 2.094 0 11.181 9.52 3.525 1.931 8.459 "1"
"133" 4.343 3.9399 33.3 -2.514 3.047 1.5 9.309 "4" 1.09 1.139 1.108 "0" "0" 2 -0.097 19.107 2.682 3.519 4.167 8.016 "1"
"134" 4.17 3.2723 22.2 -1.19 2.555 0.971 8.597 "0" 1.083 1.162 1.018 "0" "0" 1.848 0.46 9.118 1.542 3.333 4.433 7.299 "1"
"135" 4.588 4.0275 32 -0.579 3.256 1.859 9.768 "5" 1.007 1.141 1.174 "0" "0" 2.12 0.014 21.203 3.114 3.48 2.833 8.066 "1"
"136" 4.17 3.3821 40 0.56 2.559 0.971 8.597 "0" 0.987 1.133 1.332 "0" "0" 1.848 0.401 0 1.542 3.452 3.033 7.564 "1"
"137" 5.098 3.8431 17.6 0 3.176 1.5 9.872 "3" 1.041 1.159 1.131 "0" "0" 2.112 -0.085 19.811 2.472 4.692 3.552 9.315 "1"
"138" 4.214 3.5181 27.3 -0.738 2.953 1.459 8.755 "1" 1.057 1.146 1.174 "0" "1" 1.902 -0.263 9.587 2.052 3.815 3.296 8.172 "1"
"139" 5.098 3.1338 27.3 0 3.72 2.911 10.229 "4" 0.992 1.145 1.168 "0" "0" 2.121 0 10.364 6.651 4.45 2.459 9.153 "1"
"140" 4.372 3.4629 38.5 2.495 3.129 1.922 9.494 "0" 0.964 1.128 1.288 "0" "0" 2.031 -0.023 0 3.412 3.363 2.033 7.909 "1"
"141" 4.17 2.2197 27.3 0 2.507 1.393 8.723 "1" 1.028 1.151 1.018 "0" "0" 2.214 -0.228 0 1.542 3.325 2.767 7.303 "1"
"142" 3.802 2.8425 31.6 0 2.746 1.95 8.394 "1" 0.98 1.142 1.169 "0" "0" 1.848 0.129 0 2.885 3.104 2.357 7.119 "1"
"143" 4.235 3.0785 28 0 2.975 1.975 9.118 "2" 0.989 1.15 1.137 "0" "0" 1.962 0.043 0 3.449 3.112 2.315 7.316 "1"
"144" 4.752 3.995 31 -0.307 3.987 3.022 10.465 "10" 1 1.143 1.149 "0" "0" 2.161 0 23.23 8.486 3.451 2.375 8.618 "1"
"145" 4.618 4.7233 33.3 -1.035 3.305 1.79 9.768 "6" 1.035 1.139 1.163 "0" "0" 2.136 0.016 20.666 2.612 3.493 3.152 8.202 "1"
"146" 4.562 4.1592 10 -0.713 2.978 0.918 9.184 "0" 1.082 1.175 1.152 "0" "0" 2 -0.274 9.461 1.521 4.307 4.148 8.83 "1"
"147" 4.77 2.8938 41.7 0 3.164 1.185 9.882 "0" 0.966 1.121 1.299 "0" "0" 2.236 0.012 0 1.74 3.646 1.867 8.083 "1"
"148" 4.517 2.6422 40 0 3.073 1.409 9.391 "0" 0.976 1.129 1.266 "0" "0" 2.149 -0.024 0 2.036 3.553 2.074 7.884 "1"
"149" 4.414 3.135 46.2 0 2.884 0.802 9.183 "2" 0.998 1.112 1.264 "0" "0" 2.101 -0.08 0 0.975 3.566 2.524 7.811 "1"
"150" 4.732 3.3319 42.9 0 3.025 0.875 9.579 "4" 1.022 1.119 1.219 "0" "0" 2.194 0.047 0 0.854 3.67 2.917 8.008 "1"
"151" 4.607 3.1517 41.2 0 3.118 1.187 9.631 "4" 1.011 1.122 1.214 "0" "0" 2.194 -0.026 0 1.544 3.649 2.537 8.058 "1"
"152" 4.898 3.1976 40.7 0 3.451 1.546 10.067 "4" 0.994 1.123 1.248 "0" "0" 2.305 -0.002 0 2 3.729 2.192 8.364 "1"
"153" 4.97 3.567 46.2 0 3.66 0.861 10.06 "2" 1.073 1.099 1.334 "0" "1" 2.307 0.015 0 0.962 4.106 2.9 9.154 "1"
"154" 4.782 2.9304 43.5 0 3.294 1.273 9.947 "2" 0.984 1.117 1.28 "0" "0" 2.251 -0.007 10.288 1.951 3.671 2.333 8.238 "1"
"155" 4.869 3.2685 40.9 0 3.404 1.528 10.009 "6" 1.018 1.123 1.22 "0" "0" 2.29 0.004 10.337 1.945 3.743 2.75 8.362 "1"
"156" 5.156 2.4524 55.6 -3.296 3.788 0.75 10.813 "16" 1.103 1.093 1.225 "0" "0" 2.532 0 44.736 1.508 3.986 3.271 9.007 "1"
"157" 5.072 3.2754 40 -1.016 3.678 1.875 10.32 "10" 1.016 1.125 1.21 "0" "0" 2.349 0 23.088 2.707 3.793 2.667 8.642 "1"
"158" 5.074 2.2282 44.2 -1.025 4.037 1.563 10.658 "13" 1.003 1.116 1.243 "0" "0" 2.355 0 24.332 4.684 3.798 2.406 9.005 "1"
"159" 5.072 3.1939 43.8 -1.165 3.808 2.123 10.379 "12" 1.015 1.117 1.235 "0" "0" 2.351 0 23.409 3.342 3.795 2.704 8.776 "1"
